Ano	Fase	Valores
2004	Aprovados na LOA	3.18
2005	Aprovados na LOA	4.19
2006	Aprovados na LOA	5.81
2007	Aprovados na LOA	6.65
2008	Aprovados na LOA	8.38
2009	Aprovados na LOA	10.06
2010	Aprovados na LOA	11.95
2011	Aprovados na LOA	11.61
2012	Aprovados na LOA	12.69
2013	Aprovados na LOA	11.98
2014	Aprovados na LOA	10.98
2015	Aprovados na LOA	11.10
2016	Aprovados na LOA	9.75
2017	Aprovados na LOA	9.48
2018	Aprovados na LOA	8.77
2004	Valores pagos (incluindo restos a pagar)	0.49
2005	Valores pagos (incluindo restos a pagar)	0.93
2006	Valores pagos (incluindo restos a pagar)	1.62
2007	Valores pagos (incluindo restos a pagar)	1.86
2008	Valores pagos (incluindo restos a pagar)	2.11
2009	Valores pagos (incluindo restos a pagar)	2.17
2010	Valores pagos (incluindo restos a pagar)	2.28
2011	Valores pagos (incluindo restos a pagar)	2.09
2012	Valores pagos (incluindo restos a pagar)	2.61
2013	Valores pagos (incluindo restos a pagar)	2.70
2014	Valores pagos (incluindo restos a pagar)	2.75
2015	Valores pagos (incluindo restos a pagar)	2.76
2016	Valores pagos (incluindo restos a pagar)	5.26
2017	Valores pagos (incluindo restos a pagar)	4.79
2018	Valores pagos (incluindo restos a pagar)	7.90
