Ano	Porcentagem 	Fase
2004	0.66	Aprovados na LOA
2005	0.78	Aprovados na LOA
2006	0.98	Aprovados na LOA
2007	1.02	Aprovados na LOA
2008	1.22	Aprovados na LOA
2009	1.38	Aprovados na LOA
2010	1.70	Aprovados na LOA
2011	1.54	Aprovados na LOA
2012	1.59	Aprovados na LOA
2013	1.43	Aprovados na LOA
2014	1.32	Aprovados na LOA
2015	1.51	Aprovados na LOA
2016	1.35	Aprovados na LOA
2017	1.28	Aprovados na LOA
2018	1.21	Aprovados na LOA
2004	0.10	Valores pagos (incluindo restos a pagar)
2005	0.17	Valores pagos (incluindo restos a pagar)
2006	0.27	Valores pagos (incluindo restos a pagar)
2007	0.29	Valores pagos (incluindo restos a pagar)
2008	0.31	Valores pagos (incluindo restos a pagar)
2009	0.30	Valores pagos (incluindo restos a pagar)
2010	0.32	Valores pagos (incluindo restos a pagar)
2011	0.28	Valores pagos (incluindo restos a pagar)
2012	0.33	Valores pagos (incluindo restos a pagar)
2013	0.32	Valores pagos (incluindo restos a pagar)
2014	0.33	Valores pagos (incluindo restos a pagar)
2015	0.37	Valores pagos (incluindo restos a pagar)
2016	0.72	Valores pagos (incluindo restos a pagar)
2017	0.64	Valores pagos (incluindo restos a pagar)
2018	1.09	Valores pagos (incluindo restos a pagar)
