Anos	Quantidade	Status
1999	6580	Aprovada
2000	7300	Aprovada
2001	7415	Aprovada
2002	6352	Aprovada
2003	6003	Aprovada
2004	6325	Aprovada
2005	6651	Aprovada
2006	6865	Aprovada
2007	7103	Aprovada
2008	7842	Aprovada
2009	7577	Aprovada
2010	8199	Aprovada
2011	7971	Aprovada
2012	7563	Aprovada
2013	6720	Aprovada
2014	6764	Aprovada
2015	7677	Aprovada
2016	6378	Aprovada
2017	6229	Aprovada
2018	6590	Aprovada
1999	2400	Executada
2000	1215	Executada
2001	1516	Executada
2002	1146	Executada
2003	265	Executada
2004	2086	Executada
2005	711	Executada
2006	1418	Executada
2007	1210	Executada
2008	2318	Executada
2009	1263	Executada
2010	2064	Executada
2011	1202	Executada
2012	2299	Executada
2013	1481	Executada
2014	1813	Executada
2015	163	Executada
2016	2211	Executada
2017	1036	Executada
2018	4090	Executada
