Anos	Porcentagem	Situacao
1999	0.77	Coalizao
2000	0.82	Coalizao
2001	0.77	Coalizao
2002	0.43	Coalizao
2003	0.38	Coalizao
2004	0.71	Coalizao
2005	0.76	Coalizao
2006	0.73	Coalizao
2007	0.65	Coalizao
2008	0.69	Coalizao
2009	0.65	Coalizao
2010	0.62	Coalizao
2011	0.64	Coalizao
2012	0.63	Coalizao
2013	0.58	Coalizao
2014	0.52	Coalizao
2015	0.60	Coalizao
2016	0.60	Coalizao
2017	0.55	Coalizao
2018	0.56	Coalizao
1999	0.23	Oposicao
2000	0.18	Oposicao
2001	0.23	Oposicao
2002	0.57	Oposicao
2003	0.62	Oposicao
2004	0.29	Oposicao
2005	0.24	Oposicao
2006	0.27	Oposicao
2007	0.35	Oposicao
2008	0.31	Oposicao
2009	0.35	Oposicao
2010	0.38	Oposicao
2011	0.36	Oposicao
2012	0.37	Oposicao
2013	0.42	Oposicao
2014	0.48	Oposicao
2015	0.40	Oposicao
2016	0.40	Oposicao
2017	0.45	Oposicao
2018	0.44	Oposicao
