Ano,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10A,Q10B,IAL,IALsub1,IALsub2,IALsub3
1965,5,0,3.33,5,2.5,6,5,6.66,0,5,5,38.49,19.99,13.5,5
1966,5,0,3.33,5,2.5,6,5,6.66,0,5,5,38.49,19.99,13.5,5
1967,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1968,10,5,3.33,5,10,10,5,6.66,0,5,5,59.99,29.99,25,5
1969,10,5,3.33,5,10,10,5,6.66,0,5,5,59.99,29.99,25,5
1970,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1971,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1972,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1973,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1974,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1975,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1976,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1977,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1978,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1979,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1980,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1981,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1982,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1983,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1984,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1985,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1986,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1987,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1988,5,5,3.33,5,10,10,5,6.66,0,5,5,54.99,24.99,25,5
1989,5,7.5,6.66,5,5,2,5,6.66,0,5,7.5,49.07,30.82,12,6.25
1990,5,7.5,6.66,5,5,2,5,6.66,0,5,7.5,49.07,30.82,12,6.25
1991,5,7.5,6.66,5,5,2,5,6.66,0,5,7.5,49.07,30.82,12,6.25
1992,5,7.5,6.66,5,5,2,5,6.66,0,5,7.5,49.07,30.82,12,6.25
1993,5,7.5,6.66,5,5,2,5,6.66,0,5,7.5,49.07,30.82,12,6.25
1994,5,7.5,6.66,5,5,2,5,6.66,0,5,7.5,49.07,30.82,12,6.25
1995,5,7.5,6.66,5,5,2,5,6.66,0,5,7.5,49.07,30.82,12,6.25
1996,5,7.5,6.66,5,5,2,5,6.66,0,5,7.5,49.07,30.82,12,6.25
1997,5,7.5,6.66,5,5,2,5,6.66,0,5,7.5,49.07,30.82,12,6.25
1998,5,7.5,6.66,5,5,2,5,6.66,0,5,7.5,49.07,30.82,12,6.25
1999,5,7.5,6.66,5,5,2,5,6.66,0,5,7.5,49.07,30.82,12,6.25
2000,5,7.5,6.66,5,5,2,5,6.66,7.5,7.5,7.5,57.82,30.82,12,15
2001,5,10,6.66,5,5,2,5,6.66,7.5,7.5,7.5,60.32,33.32,12,15
2002,5,10,6.66,5,5,2,5,6.66,7.5,7.5,7.5,60.32,33.32,12,15
2003,5,10,6.66,5,5,2,5,6.66,7.5,7.5,7.5,60.32,33.32,12,15
2004,5,10,6.66,5,5,2,5,6.66,7.5,7.5,7.5,60.32,33.32,12,15
2005,5,10,6.66,5,5,2,5,6.66,7.5,7.5,7.5,60.32,33.32,12,15
2006,5,10,6.66,5,5,2,5,6.66,7.5,7.5,7.5,60.32,33.32,12,15
2007,5,10,6.66,5,5,2,5,6.66,7.5,7.5,7.5,60.32,33.32,12,15
2008,5,10,6.66,5,5,2,5,6.66,7.5,7.5,7.5,60.32,33.32,12,15
2009,5,10,6.66,5,5,2,5,6.66,7.5,7.5,7.5,60.32,33.32,12,15
2010,5,10,6.66,5,5,2,5,6.66,7.5,7.5,7.5,60.32,33.32,12,15
