year,Q1,Q2,Q3,Q4,Q5,Q6,Q7média,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
1965,4,2.67,0,2,0,0,0.67,4,0,2,2,0,4,2,0,0
1966,4,2.67,0,2,0,0,0.67,4,0,2,2,0,4,2,0,0
1967,4,2.67,0,2,0,0,0.67,4,0,2,2,0,4,2,0,0
1968,4,2.67,0,2,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1969,4,2.67,0,2,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1970,4,2.67,0,2,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1971,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1972,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1973,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1974,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1975,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1976,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1977,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1978,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1979,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1980,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1981,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1982,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1983,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1984,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1985,4,4,0,4,1.33,0,0.67,4,0,2,2,0,4,2,0,0
1986,4,4,0,4,1.33,0,0.67,4,1.33,4,2,0,4,2,0,0
1987,4,4,0,4,1.33,0,0.67,4,1.33,4,2,0,4,2,0,0
1988,4,4,0,4,1.33,0,0.67,4,1.33,4,2,0,4,2,2,0
1989,4,4,0,4,1.33,0,0.67,4,1.33,4,2,0,4,2,2,0
1990,4,4,0,4,1.33,0,0.67,4,4,4,2,0,4,2,2,0
1991,4,4,0,4,2.67,0,0.67,4,4,4,2,0,4,2,2,2
1992,4,4,0,4,2.67,0,0.67,4,4,4,2,0,4,2,2,2
1993,4,4,0,4,2.67,0,0.67,4,4,4,2,0,4,2,2,2
1994,4,4,0,4,2.67,0,0.67,4,4,4,2,0,4,2,2,2
1995,4,4,0,4,2.67,2,0.67,4,4,4,2,0,4,2,2,2
1996,4,4,0,4,2.67,2,0.67,4,4,4,2,0,4,2,2,2
1997,4,4,0,4,2.67,2,0.67,4,4,4,2,0,4,2,2,2
1998,4,4,0,4,2.67,2,0.67,4,4,4,2,0,4,2,2,2
1999,4,4,4,4,2.67,2,0.67,4,4,4,2,0,4,4,2,2
2000,4,4,4,4,2.67,2,1.33,4,4,4,2,4,4,4,2,2
2001,4,4,4,4,2.67,2,1.33,4,4,4,2,4,4,4,2,2
2002,4,4,4,4,2.67,2,1.33,4,4,4,2,4,4,4,2,2
2003,4,4,4,4,2.67,2,1.33,4,4,4,2,4,4,4,2,2
2004,4,4,4,4,2.67,2,1.33,4,4,4,2,4,4,4,2,2
2005,4,4,4,4,2.67,2,1.33,4,4,4,2,4,4,4,2,2
2006,4,4,4,4,2.67,2,1.33,4,4,4,2,4,4,4,2,4
2007,4,4,4,4,2.67,2,1.33,4,4,4,2,4,4,4,2,4
2008,4,4,4,4,2.67,2,1.33,4,4,4,2,4,4,4,2,4
2009,4,4,4,4,2.67,2,1.33,4,4,4,2,4,4,4,2,4
2010,4,4,4,4,2.67,2,1.33,4,4,4,2,4,4,4,2,4
