year,question_code,score,fundament,score_source,subcomponent
1990,weh_com_*,"3,3","Art. 166, §1º, da CF||Art. 166,  §1º, I, da CF",Own,0
1991,weh_com_*,"3,3","Art. 166, §1º, da CF||Art. 166,  §1º, I, da CF",Own,0
1992,weh_com_*,5,"Art. 166, §1º, da CF + Resolução nº 1/1991-CN|Art. 11 da Resolução nº 1/2001-CN|Art. 166,  §1º, I, da CF",Own,0
1993,weh_com_*,5,"Art. 166, §1º, da CF + Resolução nº 1/1991-CN|Art. 11 da Resolução nº 1/2001-CN|Art. 166,  §1º, I, da CF",Own,0
1994,weh_com_*,5,"Art. 166, §1º, da CF + Resolução nº 1/1991-CN|Art. 11 da Resolução nº 1/2001-CN|Art. 166,  §1º, I, da CF",Own,0
1995,weh_com_*,5,"Art. 166, §1º, da CF + Resolução nº 1/1991-CN|Art. 11 da Resolução nº 1/2001-CN|Art. 166,  §1º, I, da CF",Own,0
1996,weh_com_*,5,"Art. 166, §1º, da CF + Resolução nº 2/1995-CN|Art. 15 da Resolução nº 2/1995-CN|Art. 166,  §1º, I, da CF",Own,0
1997,weh_com_*,5,"Art. 166, §1º, da CF + Resolução nº 2/1995-CN|Art. 15 da Resolução nº 2/1995-CN|Art. 166,  §1º, I, da CF",Own,0
1998,weh_com_*,5,"Art. 166, §1º, da CF + Resolução nº 2/1995-CN|Art. 15 da Resolução nº 2/1995-CN|Art. 166,  §1º, I, da CF",Own,0
1999,weh_com_*,5,"Art. 166, §1º, da CF + Resolução nº 2/1995-CN|Art. 15 da Resolução nº 2/1995-CN|Art. 166,  §1º, I, da CF",Own,0
2000,weh_com_*,5,"Art. 166, §1º, da CF + Resolução nº 2/1995-CN|Art. 15 da Resolução nº 2/1995-CN|Art. 166,  §1º, I, da CF",Own,0
2001,weh_com_*,5,"Art. 166, §1º, da CF + Resolução nº 2/1995-CN|Art. 15 da Resolução nº 2/1995-CN|Art. 166,  §1º, I, da CF",Own,0
2002,weh_com_*,5,"Art. 166, §1º, da CF + Resolução nº 1/2001-CN|Art. 18 da Resolução nº 1/2001|Art. 166,  §1º, I, da CF",Own,0
2003,weh_com_*,5,"Art. 166, §1º, da CF + Resolução nº 1/2001-CN|Art. 18 da Resolução nº 1/2002|Art. 166,  §1º, I, da CF",Own,0
