Total,Critério 1,Critério 2,Critério 3,Critério 4,Critério 5,Critério 6,Total Anual
,,,,,,,
1990,"8,75",6,"6,7","9,166666667","3,333333333",2,"5,991666667"
1991,"8,75",6,"6,7","9,166666667","3,333333333",2,"5,991666667"
1992,"8,75",6,"6,7","9,166666667","4,166666667",2,"6,130555556"
1993,"8,75",6,"6,7","9,166666667","4,166666667",2,"6,130555556"
1994,"2,5",6,"6,7","9,166666667","4,166666667",2,"5,088888889"
1995,"2,5",6,"6,7","9,166666667","4,166666667",2,"5,088888889"
1996,"2,5","3,5","6,7","9,166666667","4,166666667",2,"4,672222222"
1997,"2,5",5,"6,7","9,166666667","4,166666667",2,"4,922222222"
1998,"2,5",5,"6,7","9,166666667","4,166666667",2,"4,922222222"
1999,"2,5",5,"6,7","9,166666667","4,166666667",2,"4,922222222"
2000,"2,5","4,5","6,7","9,166666667","4,166666667",2,"4,838888889"
2001,"2,5",6,"6,7","9,166666667","4,166666667",2,"5,088888889"
2002,"2,5",6,"6,7","9,166666667","4,166666667",2,"5,088888889"
2003,"2,5",6,"6,7","9,166666667","4,166666667",2,"5,088888889"
2004,"2,5",6,"6,7","9,166666667","4,166666667",2,"5,088888889"
2005,"2,5",6,"6,7","9,166666667","4,166666667",2,"5,088888889"
2006,"2,5",5,"6,7","9,166666667","4,166666667",2,"4,922222222"
2007,"2,5",5,"6,7","5,833333333","6,666666667",2,"4,783333333"
2008,"2,5",5,"6,7","5,833333333","6,666666667",2,"4,783333333"
2009,"2,5",5,"6,7","5,833333333","6,666666667","2,5","4,866666667"
2010,"2,5",5,"6,7","5,833333333","6,666666667","2,5","4,866666667"
2011,"2,5",5,"6,7","5,833333333","6,666666667","2,5","4,866666667"
2012,"2,5",5,"6,7","5,833333333","6,666666667","2,5","4,866666667"
2013,"2,5",5,"6,7","6,666666667","6,666666667",3,"5,088888889"
2014,"2,5",5,"6,7","7,5","6,666666667","3,75","5,352777778"
2015,"2,5",5,"6,7","7,5","6,666666667","3,75","5,352777778"
2016,"2,5",5,"6,7","7,5","6,666666667",6,"5,727777778"
2017,"2,5",5,"6,7","8,333333333","6,666666667",6,"5,866666667"
2018,"2,5",5,"6,7","8,333333333","6,666666667",6,"5,866666667"
2019,"2,5",5,"6,7","8,333333333","6,666666667",6,"5,866666667"
2020,5,5,"6,7","9,166666667","6,666666667",6,"6,422222222"
2021,5,5,"6,7","9,166666667","6,666666667",6,"6,422222222"
2022,5,5,"6,7","9,166666667","6,666666667",6,"6,422222222"
2023,5,5,"6,7","9,166666667","6,666666667",6,"6,422222222"
