ano,página do relatório,número de analistas ocupados/auditores federais de controle externo,número de técnicos ocupados,total - corpo técnico,número de auditores/ministros-substitutos,número de procuradores de contas,número de ministros,número de profissionais envolvidos na auditoria de contas da presidência,obs
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,56,1261,957,2218,3,7,8,,
2006,59,1421,941,2362,2,7,9,,
2007,79,1409,925,2334,2,7,9,,
2008,84,1645,916,2561,4,7,9,,
2009,"98, 15, 25",1719,914,2633,4,8,9,,
2010,"91, 25",1709,919,2628,4,8,9,,
2011,117,1666,886,2552,4,,9,,
2012,"155, 29",1740,898,2638,4,8,9,,
2013,114,1649,904,2553,4,6,9,,
2014,232,1724,861,2585,4,6,9,,
2015,137,1757,868,2625,4,6,9,,recomendou a rejeição das contas da presidência relativas ao ano de 2014 (p. 63)
2016,87,1728,835,2563,4,7,9,,recomendou a rejeição das contas da presidência relativas ao ano de 2015 (p. 62)
2017,,,,0,4,7,9,,
2018,,,,0,4,7,9,,redução significativa da força de trabalho
2019,218,2210,,2210,4,8,9,,redução significativa da força de trabalho
2020,260,2186,,2186,4,7,9,,
2021,209,2180,,2180,4,6,9,,
2022,56,2177,,2177,3,7,9,mais de 50 (voto do ministro-relator) + 327 servidores na Segepres (p. 55),
