Ano SIAFI,Classificação RP,Classificação RP (Cod),Função DESP,Resultado Lei (Cod) DESP,Resultado Lei DESP,Resultado EOF (Cod) DESP,Resultado EOF DESP,RP (Cod),RP,Poder DESP,Setor DESP,Emenda (Tipo),Dotação Inicial (IPCA),Pago (IPCA)
2010,NÃO INFORMADO,000,NÃO APLICÁVEL,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO APLICÁVEL,NÃO APLICÁVEL,NÃO INFORMADO,"0,00","0,00"
2010,JUROS E ENCARGOS DA DÍVIDA (GND 2),001,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","205.604.268.045,50"
2010,JUROS E ENCARGOS DA DÍVIDA (GND 2),001,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,AGRICULTURA E DESENVOLVIMENTO AGRÁRIO,NÃO INFORMADO,"0,00","8.116.849,77"
2010,JUROS E ENCARGOS DA DÍVIDA (GND 2),001,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"EDUCAÇÃO, CULTURA, CIÊNCIA E TECNOLOGIA E ESPORTE",NÃO INFORMADO,"0,00","6.010.300,18"
2010,JUROS E ENCARGOS DA DÍVIDA (GND 2),001,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","24.429.087,29"
2010,JUROS E ENCARGOS DA DÍVIDA (GND 2),001,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INFRA-ESTRUTURA,NÃO INFORMADO,"0,00","203.194,88"
2010,JUROS E ENCARGOS DA DÍVIDA (GND 2),001,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INTEGRAÇÃO NACIONAL E MEIO AMBIENTE,NÃO INFORMADO,"0,00","5.414.547,78"
2010,JUROS E ENCARGOS DA DÍVIDA (GND 2),001,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,JUSTIÇA E DEFESA,NÃO INFORMADO,"0,00","253.496.126,37"
2010,JUROS E ENCARGOS DA DÍVIDA (GND 2),001,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PLANEJAMENTO E DESENVOLVIMENTO URBANO,NÃO INFORMADO,"0,00","30.327.793,54"
2010,JUROS E ENCARGOS DA DÍVIDA (GND 2),001,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","118.348,28"
2010,JUROS E ENCARGOS DA DÍVIDA (GND 2),001,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,SAÚDE,NÃO INFORMADO,"0,00","20.772.110,55"
2010,JUROS E ENCARGOS DA DÍVIDA (GND 2),001,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"TRABALHO, PREVIDÊNCIA E ASSISTÊNCIA SOCIAL",NÃO INFORMADO,"0,00","2.539.315,25"
2010,JUROS E ENCARGOS DA DÍVIDA (GND 2),001,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER LEGISLATIVO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","1.321.805,53"
2010,AMORTIZAÇÃO DA DÍVIDA (GND 6),002,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","856.236.796.563,85"
2010,AMORTIZAÇÃO DA DÍVIDA (GND 6),002,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,AGRICULTURA E DESENVOLVIMENTO AGRÁRIO,NÃO INFORMADO,"0,00","27.201.428,93"
2010,AMORTIZAÇÃO DA DÍVIDA (GND 6),002,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"EDUCAÇÃO, CULTURA, CIÊNCIA E TECNOLOGIA E ESPORTE",NÃO INFORMADO,"0,00","18.806.940,58"
2010,AMORTIZAÇÃO DA DÍVIDA (GND 6),002,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","28.477.032,46"
2010,AMORTIZAÇÃO DA DÍVIDA (GND 6),002,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INFRA-ESTRUTURA,NÃO INFORMADO,"0,00","4.567.655,98"
2010,AMORTIZAÇÃO DA DÍVIDA (GND 6),002,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INTEGRAÇÃO NACIONAL E MEIO AMBIENTE,NÃO INFORMADO,"0,00","12.748.025,61"
2010,AMORTIZAÇÃO DA DÍVIDA (GND 6),002,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,JUSTIÇA E DEFESA,NÃO INFORMADO,"0,00","375.426.289,47"
2010,AMORTIZAÇÃO DA DÍVIDA (GND 6),002,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PLANEJAMENTO E DESENVOLVIMENTO URBANO,NÃO INFORMADO,"0,00","96.064.746,97"
2010,AMORTIZAÇÃO DA DÍVIDA (GND 6),002,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,SAÚDE,NÃO INFORMADO,"0,00","53.955.672,99"
2010,AMORTIZAÇÃO DA DÍVIDA (GND 6),002,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"TRABALHO, PREVIDÊNCIA E ASSISTÊNCIA SOCIAL",NÃO INFORMADO,"0,00","7.328.686,04"
2010,AMORTIZAÇÃO DA DÍVIDA (GND 6),002,ENCARGOS ESPECIAIS,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER LEGISLATIVO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","2.757.386,94"
2010,RESERVA DE CONTINGÊNCIA (GND 9),003,RESERVA DE CONTINGÊNCIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","0,00"
2010,RESERVA DE CONTINGÊNCIA (GND 9),003,RESERVA DE CONTINGÊNCIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,RELATOR-GERAL,NÃO INFORMADO,"0,00","0,00"
2010,RESERVA DE CONTINGÊNCIA (GND 9),003,RESERVA DE CONTINGÊNCIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","0,00"
2010,RESERVA DE CONTINGÊNCIA (GND 9),003,RESERVA DE CONTINGÊNCIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INFRA-ESTRUTURA,NÃO INFORMADO,"0,00","0,00"
2010,RESERVA DE CONTINGÊNCIA (GND 9),003,RESERVA DE CONTINGÊNCIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INTEGRAÇÃO NACIONAL E MEIO AMBIENTE,NÃO INFORMADO,"0,00","0,00"
2010,RESERVA DE CONTINGÊNCIA (GND 9),003,RESERVA DE CONTINGÊNCIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,JUSTIÇA E DEFESA,NÃO INFORMADO,"0,00","0,00"
2010,RESERVA DE CONTINGÊNCIA (GND 9),003,RESERVA DE CONTINGÊNCIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PLANEJAMENTO E DESENVOLVIMENTO URBANO,NÃO INFORMADO,"0,00","0,00"
2010,RESERVA DE CONTINGÊNCIA (GND 9),003,RESERVA DE CONTINGÊNCIA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","0,00"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ADMINISTRAÇÃO,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,OUTRO PODER,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","417.435.130,28"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ADMINISTRAÇÃO,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,"FAZENDA, DESENVOLVIMENTO E TURISMO",NÃO INFORMADO,"0,00","2.978.547.180,70"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ADMINISTRAÇÃO,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,INTEGRAÇÃO NACIONAL E MEIO AMBIENTE,NÃO INFORMADO,"0,00","75.400.550,82"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ADMINISTRAÇÃO,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PLANEJAMENTO E DESENVOLVIMENTO URBANO,NÃO INFORMADO,"0,00","493.264.973,18"
2010,"OUTRAS DESPESAS FINANCEIRAS (GNDS 3,4,5)",004,ADMINISTRAÇÃO,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,0,DESP. FINANCEIRA,PODER EXECUTIVO,PODERES DO ESTADO E REPRESENTAÇÃO,NÃO INFORMADO,"0,00","254.127.199,19"
